CoarseGrainedListBasedSet;1;0;100;200; 1.0276725274725275E7
CoarseGrainedListBasedSet;1;0;1000;2000; 1378451.2743628186
CoarseGrainedListBasedSet;1;0;10000;20000; 54205.29470529471
CoarseGrainedListBasedSet;1;10;100;200; 9738199.800199801
CoarseGrainedListBasedSet;1;10;1000;2000; 546068.9310689311
CoarseGrainedListBasedSet;1;10;10000;20000; 49503.248375812094
CoarseGrainedListBasedSet;1;100;100;200; 1.012658041958042E7
CoarseGrainedListBasedSet;1;100;1000;2000; 840296.203796204
CoarseGrainedListBasedSet;1;100;10000;20000; 41108.44577711145
CoarseGrainedListBasedSet;4;0;100;200; 6393221.278721279
CoarseGrainedListBasedSet;4;0;1000;2000; 722118.8217673489
CoarseGrainedListBasedSet;4;0;10000;20000; 48716.42536195706
CoarseGrainedListBasedSet;4;10;100;200; 5558608.391608392
CoarseGrainedListBasedSet;4;10;1000;2000; 385238.2617382618
CoarseGrainedListBasedSet;4;10;10000;20000; 41383.42486270594
CoarseGrainedListBasedSet;4;100;100;200; 4178643.0354468296
CoarseGrainedListBasedSet;4;100;1000;2000; 469134.3656343657
CoarseGrainedListBasedSet;4;100;10000;20000; 36558.94105894106
CoarseGrainedListBasedSet;6;0;100;200; 5963380.429355966
CoarseGrainedListBasedSet;6;0;1000;2000; 706340.9885172241
CoarseGrainedListBasedSet;6;0;10000;20000; 44601.098352471294
CoarseGrainedListBasedSet;6;10;100;200; 5142499.251123315
CoarseGrainedListBasedSet;6;10;1000;2000; 376297.0544183724
CoarseGrainedListBasedSet;6;10;10000;20000; 43924.650698602796
CoarseGrainedListBasedSet;6;100;100;200; 3847154.268597104
CoarseGrainedListBasedSet;6;100;1000;2000; 455528.44311377243
CoarseGrainedListBasedSet;6;100;10000;20000; 36326.34730538922
CoarseGrainedListBasedSet;8;0;100;200; 6184727.908137793
CoarseGrainedListBasedSet;8;0;1000;2000; 728622.5661507738
CoarseGrainedListBasedSet;8;0;10000;20000; 47957.54245754246
CoarseGrainedListBasedSet;8;10;100;200; 5214057.826520439
CoarseGrainedListBasedSet;8;10;1000;2000; 357186.2206689965
CoarseGrainedListBasedSet;8;10;10000;20000; 44728.54291417166
CoarseGrainedListBasedSet;8;100;100;200; 3827338.8223552895
CoarseGrainedListBasedSet;8;100;1000;2000; 429224.6630054917
CoarseGrainedListBasedSet;8;100;10000;20000; 34695.95606590115
CoarseGrainedListBasedSet;10;0;100;200; 5721557.107231921
CoarseGrainedListBasedSet;10;0;1000;2000; 679472.0558882236
CoarseGrainedListBasedSet;10;0;10000;20000; 42156.2656015976
CoarseGrainedListBasedSet;10;10;100;200; 4728937.624750499
CoarseGrainedListBasedSet;10;10;1000;2000; 367915.12730903644
CoarseGrainedListBasedSet;10;10;10000;20000; 43982.05383848455
CoarseGrainedListBasedSet;10;100;100;200; 3662147.6309226933
CoarseGrainedListBasedSet;10;100;1000;2000; 438138.7225548902
CoarseGrainedListBasedSet;10;100;10000;20000; 35194.20868696954
CoarseGrainedListBasedSet;12;0;100;200; 6282910.678642714
CoarseGrainedListBasedSet;12;0;1000;2000; 706997.005988024
CoarseGrainedListBasedSet;12;0;10000;20000; 44626.746506986026
CoarseGrainedListBasedSet;12;10;100;200; 4893423.441396509
CoarseGrainedListBasedSet;12;10;1000;2000; 350447.38154613465
CoarseGrainedListBasedSet;12;10;10000;20000; 43053.86533665835
CoarseGrainedListBasedSet;12;100;100;200; 3578242.89276808
CoarseGrainedListBasedSet;12;100;1000;2000; 432736.5269461078
CoarseGrainedListBasedSet;12;100;10000;20000; 35645.70858283433
HandOverHandListBasedSet;1;0;100;200; 1895434.7826086958
HandOverHandListBasedSet;1;0;1000;2000; 184181.40929535232
HandOverHandListBasedSet;1;0;10000;20000; 18446.053946053948
HandOverHandListBasedSet;1;10;100;200; 1850968.0159920042
HandOverHandListBasedSet;1;10;1000;2000; 183133.36663336665
HandOverHandListBasedSet;1;10;10000;20000; 18297.351324337833
HandOverHandListBasedSet;1;100;100;200; 1763527.7361319342
HandOverHandListBasedSet;1;100;1000;2000; 186255.37231384308
HandOverHandListBasedSet;1;100;10000;20000; 17528.235882058972
HandOverHandListBasedSet;4;0;100;200; 757364.4533200199
HandOverHandListBasedSet;4;0;1000;2000; 341238.2617382618
HandOverHandListBasedSet;4;0;10000;20000; 36006.4902646031
HandOverHandListBasedSet;4;10;100;200; 884617.8821178823
HandOverHandListBasedSet;4;10;1000;2000; 335205.7942057942
HandOverHandListBasedSet;4;10;10000;20000; 30811.688311688315
HandOverHandListBasedSet;4;100;100;200; 839036.9445831253
HandOverHandListBasedSet;4;100;1000;2000; 328081.37793310033
HandOverHandListBasedSet;4;100;10000;20000; 32809.69030969031
HandOverHandListBasedSet;6;0;100;200; 686960.0599101348
HandOverHandListBasedSet;6;0;1000;2000; 398313.5297054418
HandOverHandListBasedSet;6;0;10000;20000; 41396.50872817956
HandOverHandListBasedSet;6;10;100;200; 682409.3859211183
HandOverHandListBasedSet;6;10;1000;2000; 379827.67232767236
HandOverHandListBasedSet;6;10;10000;20000; 39923.6145781328
HandOverHandListBasedSet;6;100;100;200; 757449.3260109834
HandOverHandListBasedSet;6;100;1000;2000; 365467.032967033
HandOverHandListBasedSet;6;100;10000;20000; 34373.939091362954
HandOverHandListBasedSet;8;0;100;200; 664232.5349301397
HandOverHandListBasedSet;8;0;1000;2000; 345870.7584830339
HandOverHandListBasedSet;8;0;10000;20000; 35862.7744510978
HandOverHandListBasedSet;8;10;100;200; 744697.9530703943
HandOverHandListBasedSet;8;10;1000;2000; 376987.5249500998
HandOverHandListBasedSet;8;10;10000;20000; 37368.57855361596
HandOverHandListBasedSet;8;100;100;200; 697567.6485272092
HandOverHandListBasedSet;8;100;1000;2000; 344202.59481037926
HandOverHandListBasedSet;8;100;10000;20000; 36822.85429141716
HandOverHandListBasedSet;10;0;100;200; 668256.4870259481
HandOverHandListBasedSet;10;0;1000;2000; 327087.7805486284
HandOverHandListBasedSet;10;0;10000;20000; 45302.74314214464
HandOverHandListBasedSet;10;10;100;200; 704088.8223552895
HandOverHandListBasedSet;10;10;1000;2000; 324603.29341317364
HandOverHandListBasedSet;10;10;10000;20000; 41557.385229540916
HandOverHandListBasedSet;10;100;100;200; 659845.3093812375
HandOverHandListBasedSet;10;100;1000;2000; 330473.81546134665
HandOverHandListBasedSet;10;100;10000;20000; 40929.14171656687
HandOverHandListBasedSet;12;0;100;200; 651034.9301397206
HandOverHandListBasedSet;12;0;1000;2000; 290299.9001996008
HandOverHandListBasedSet;12;0;10000;20000; 50990.52369077307
HandOverHandListBasedSet;12;10;100;200; 652720.6982543641
HandOverHandListBasedSet;12;10;1000;2000; 297651.87032418954
HandOverHandListBasedSet;12;10;10000;20000; 48338.32335329341
HandOverHandListBasedSet;12;100;100;200; 663920.6982543641
HandOverHandListBasedSet;12;100;1000;2000; 294573.56608478806
HandOverHandListBasedSet;12;100;10000;20000; 46318.54436689931
HandOverHandListBasedSetOptimized;1;0;100;200; 1652951.5484515487
HandOverHandListBasedSetOptimized;1;0;1000;2000; 164567.43256743258
HandOverHandListBasedSetOptimized;1;0;10000;20000; 16442.278860569717
HandOverHandListBasedSetOptimized;1;10;100;200; 1585134.3656343657
HandOverHandListBasedSetOptimized;1;10;1000;2000; 166166.91654172915
HandOverHandListBasedSetOptimized;1;10;10000;20000; 16406.796601699152
HandOverHandListBasedSetOptimized;1;100;100;200; 1638442.2788605697
HandOverHandListBasedSetOptimized;1;100;1000;2000; 172386.80659670164
HandOverHandListBasedSetOptimized;1;100;10000;20000; 16520.23988005997
HandOverHandListBasedSetOptimized;4;0;100;200; 1654298.5521717423
HandOverHandListBasedSetOptimized;4;0;1000;2000; 364842.6573426574
HandOverHandListBasedSetOptimized;4;0;10000;20000; 40266.733266733274
